     peaks (eV)      intensity
       -8.32291     0.00183867
       -8.30791     0.00184795
       -8.29291      0.0018573
       -8.27791     0.00186673
       -8.26291     0.00187623
       -8.24791     0.00188581
       -8.23291     0.00189547
       -8.21791     0.00190521
       -8.20291     0.00191502
       -8.18791     0.00192492
       -8.17291      0.0019349
       -8.15791     0.00194497
       -8.14291     0.00195511
       -8.12791     0.00196534
       -8.11291     0.00197566
       -8.09791     0.00198607
       -8.08291     0.00199656
       -8.06791     0.00200714
       -8.05291     0.00201781
       -8.03791     0.00202857
       -8.02291     0.00203942
       -8.00791     0.00205037
       -7.99291     0.00206141
       -7.97791     0.00207254
       -7.96291     0.00208377
       -7.94791      0.0020951
       -7.93291     0.00210653
       -7.91791     0.00211806
       -7.90291     0.00212969
       -7.88791     0.00214142
       -7.87291     0.00215325
       -7.85791     0.00216519
       -7.84291     0.00217724
       -7.82791     0.00218939
       -7.81291     0.00220166
       -7.79791     0.00221403
       -7.78291     0.00222651
       -7.76791     0.00223911
       -7.75291     0.00225183
       -7.73791     0.00226465
       -7.72291      0.0022776
       -7.70791     0.00229067
       -7.69291     0.00230385
       -7.67791     0.00231716
       -7.66291     0.00233059
       -7.64791     0.00234415
       -7.63291     0.00235783
       -7.61791     0.00237165
       -7.60291     0.00238559
       -7.58791     0.00239967
       -7.57291     0.00241388
       -7.55791     0.00242822
       -7.54291     0.00244271
       -7.52791     0.00245733
       -7.51291     0.00247209
       -7.49791       0.002487
       -7.48291     0.00250205
       -7.46791     0.00251725
       -7.45291      0.0025326
       -7.43791      0.0025481
       -7.42291     0.00256375
       -7.40791     0.00257956
       -7.39291     0.00259552
       -7.37791     0.00261165
       -7.36291     0.00262793
       -7.34791     0.00264439
       -7.33291       0.002661
       -7.31791     0.00267779
       -7.30291     0.00269475
       -7.28791     0.00271189
       -7.27291      0.0027292
       -7.25791     0.00274668
       -7.24291     0.00276435
       -7.22791     0.00278221
       -7.21291     0.00280025
       -7.19791     0.00281848
       -7.18291     0.00283691
       -7.16791     0.00285553
       -7.15291     0.00287435
       -7.13791     0.00289337
       -7.12291     0.00291259
       -7.10791     0.00293203
       -7.09291     0.00295167
       -7.07791     0.00297153
       -7.06291      0.0029916
       -7.04791      0.0030119
       -7.03291     0.00303242
       -7.01791     0.00305317
       -7.00291     0.00307415
       -6.98791     0.00309536
       -6.97291     0.00311682
       -6.95791     0.00313851
       -6.94291     0.00316045
       -6.92791     0.00318265
       -6.91291     0.00320509
       -6.89791      0.0032278
       -6.88291     0.00325077
       -6.86791       0.003274
       -6.85291     0.00329751
       -6.83791     0.00332129
       -6.82291     0.00334536
       -6.80791     0.00336971
       -6.79291     0.00339434
       -6.77791     0.00341928
       -6.76291     0.00344451
       -6.74791     0.00347005
       -6.73291     0.00349591
       -6.71791     0.00352207
       -6.70291     0.00354856
       -6.68791     0.00357538
       -6.67291     0.00360252
       -6.65791     0.00363001
       -6.64291     0.00365784
       -6.62791     0.00368602
       -6.61291     0.00371456
       -6.59791     0.00374347
       -6.58291     0.00377274
       -6.56791     0.00380239
       -6.55291     0.00383243
