     peaks (eV)      intensity
       -8.32291     0.00180905
       -8.30791     0.00181801
       -8.29291     0.00182704
       -8.27791     0.00183614
       -8.26291     0.00184531
       -8.24791     0.00185456
       -8.23291     0.00186388
       -8.21791     0.00187327
       -8.20291     0.00188274
       -8.18791     0.00189229
       -8.17291     0.00190191
       -8.15791     0.00191162
       -8.14291      0.0019214
       -8.12791     0.00193126
       -8.11291      0.0019412
       -8.09791     0.00195123
       -8.08291     0.00196133
       -8.06791     0.00197152
       -8.05291      0.0019818
       -8.03791     0.00199216
       -8.02291     0.00200261
       -8.00791     0.00201315
       -7.99291     0.00202377
       -7.97791     0.00203449
       -7.96291      0.0020453
       -7.94791     0.00205619
       -7.93291     0.00206719
       -7.91791     0.00207827
       -7.90291     0.00208945
       -7.88791     0.00210073
       -7.87291     0.00211211
       -7.85791     0.00212358
       -7.84291     0.00213516
       -7.82791     0.00214684
       -7.81291     0.00215862
       -7.79791      0.0021705
       -7.78291     0.00218249
       -7.76791     0.00219459
       -7.75291     0.00220679
       -7.73791      0.0022191
       -7.72291     0.00223153
       -7.70791     0.00224407
       -7.69291     0.00225672
       -7.67791     0.00226948
       -7.66291     0.00228236
       -7.64791     0.00229536
       -7.63291     0.00230848
       -7.61791     0.00232172
       -7.60291     0.00233509
       -7.58791     0.00234858
       -7.57291     0.00236219
       -7.55791     0.00237593
       -7.54291      0.0023898
       -7.52791     0.00240381
       -7.51291     0.00241794
       -7.49791     0.00243221
       -7.48291     0.00244662
       -7.46791     0.00246116
       -7.45291     0.00247585
       -7.43791     0.00249068
       -7.42291     0.00250565
       -7.40791     0.00252077
       -7.39291     0.00253603
       -7.37791     0.00255145
       -7.36291     0.00256702
       -7.34791     0.00258274
       -7.33291     0.00259862
       -7.31791     0.00261466
       -7.30291     0.00263086
       -7.28791     0.00264723
       -7.27291     0.00266376
       -7.25791     0.00268046
       -7.24291     0.00269733
       -7.22791     0.00271437
       -7.21291     0.00273159
       -7.19791     0.00274899
       -7.18291     0.00276657
       -7.16791     0.00278433
       -7.15291     0.00280228
       -7.13791     0.00282042
       -7.12291     0.00283875
       -7.10791     0.00285728
       -7.09291     0.00287601
       -7.07791     0.00289493
       -7.06291     0.00291406
       -7.04791      0.0029334
       -7.03291     0.00295295
       -7.01791     0.00297272
       -7.00291      0.0029927
       -6.98791      0.0030129
       -6.97291     0.00303333
       -6.95791     0.00305399
       -6.94291     0.00307488
       -6.92791       0.003096
       -6.91291     0.00311736
       -6.89791     0.00313897
       -6.88291     0.00316083
       -6.86791     0.00318293
       -6.85291     0.00320529
       -6.83791     0.00322792
       -6.82291      0.0032508
       -6.80791     0.00327396
       -6.79291     0.00329739
       -6.77791      0.0033211
       -6.76291     0.00334509
       -6.74791     0.00336937
       -6.73291     0.00339394
       -6.71791     0.00341881
       -6.70291     0.00344399
       -6.68791     0.00346947
       -6.67291     0.00349527
       -6.65791     0.00352139
       -6.64291     0.00354783
       -6.62791     0.00357461
       -6.61291     0.00360172
       -6.59791     0.00362918
       -6.58291     0.00365699
       -6.56791     0.00368516
       -6.55291     0.00371369
       -6.53791     0.00374259
       -6.52291     0.00377187
       -6.50791     0.00380154
       -6.49291     0.00383159
       -6.47791     0.00386205
       -6.46291     0.00389292
       -6.44791      0.0039242
       -6.43291     0.00395591
       -6.41791     0.00398805
       -6.40291     0.00402063
       -6.38791     0.00405366
       -6.37291     0.00408715
       -6.35791     0.00412112
       -6.34291     0.00415556
       -6.32791     0.00419049
       -6.31291     0.00422592
       -6.29791     0.00426186
       -6.28291     0.00429832
       -6.26791     0.00433531
       -6.25291     0.00437284
       -6.23791     0.00441093
       -6.22291     0.00444959
       -6.20791     0.00448883
       -6.19291     0.00452866
       -6.17791      0.0045691
       -6.16291     0.00461016
       -6.14791     0.00465185
       -6.13291     0.00469419
       -6.11791      0.0047372
       -6.10291     0.00478088
       -6.08791     0.00482526
       -6.07291     0.00487036
       -6.05791     0.00491618
       -6.04291     0.00496275
       -6.02791     0.00501008
       -6.01291      0.0050582
       -5.99791     0.00510712
       -5.98291     0.00515686
       -5.96791     0.00520745
       -5.95291     0.00525891
       -5.93791     0.00531125
       -5.92291      0.0053645
       -5.90791     0.00541869
       -5.89291     0.00547384
       -5.87791     0.00552997
       -5.86291     0.00558712
       -5.84791      0.0056453
       -5.83291     0.00570455
       -5.81791      0.0057649
       -5.80291     0.00582638
       -5.78791     0.00588901
       -5.77291     0.00595284
       -5.75791      0.0060179
       -5.74291     0.00608422
       -5.72791     0.00615184
       -5.71291      0.0062208
       -5.69791     0.00629113
       -5.68291     0.00636289
       -5.66791     0.00643611
       -5.65291     0.00651084
       -5.63791     0.00658713
       -5.62291     0.00666502
       -5.60791     0.00674456
       -5.59291     0.00682582
       -5.57791     0.00690885
       -5.56291      0.0069937
       -5.54791     0.00708043
       -5.53291     0.00716912
       -5.51791     0.00725982
       -5.50291      0.0073526
       -5.48791     0.00744755
       -5.47291     0.00754472
       -5.45791     0.00764422
       -5.44291     0.00774611
       -5.42791     0.00785049
       -5.41291     0.00795745
       -5.39791     0.00806709
       -5.38291      0.0081795
       -5.36791      0.0082948
       -5.35291      0.0084131
       -5.33791     0.00853452
       -5.32291     0.00865917
       -5.30791     0.00878721
       -5.29291     0.00891875
       -5.27791     0.00905396
       -5.26291     0.00919298
       -5.24791     0.00933598
       -5.23291     0.00948313
       -5.21791     0.00963461
       -5.20291     0.00979062
       -5.18791     0.00995137
       -5.17291      0.0101171
       -5.15791      0.0102879
       -5.14291      0.0104643
       -5.12791      0.0106463
       -5.11291      0.0108342
       -5.09791      0.0110284
       -5.08291      0.0112292
       -5.06791       0.011437
       -5.05291      0.0116519
       -5.03791      0.0118746
       -5.02291      0.0121053
       -5.00791      0.0123445
       -4.99291      0.0125926
       -4.97791      0.0128503
       -4.96291      0.0131179
       -4.94791      0.0133961
       -4.93291      0.0136855
       -4.91791      0.0139868
       -4.90291      0.0143007
       -4.88791      0.0146279
       -4.87291      0.0149693
       -4.85791      0.0153259
       -4.84291      0.0156984
       -4.82791      0.0160881
       -4.81291       0.016496
       -4.79791      0.0169233
       -4.78291      0.0173714
       -4.76791      0.0178417
       -4.75291      0.0183357
       -4.73791      0.0188551
       -4.72291      0.0194017
       -4.70791      0.0199773
       -4.69291      0.0205842
       -4.67791      0.0212244
       -4.66291      0.0219005
       -4.64791      0.0226149
       -4.63291      0.0233705
       -4.61791        0.02417
       -4.60291      0.0250164
       -4.58791       0.025913
       -4.57291       0.026863
       -4.55791      0.0278697
       -4.54291      0.0289362
       -4.52791       0.030066
       -4.51291      0.0312619
       -4.49791      0.0325266
       -4.48291      0.0338626
       -4.46791      0.0352713
       -4.45291       0.036754
       -4.43791      0.0383106
       -4.42291      0.0399404
       -4.40791      0.0416416
       -4.39291      0.0434114
       -4.37791      0.0452461
       -4.36291      0.0471414
       -4.34791      0.0490927
       -4.33291      0.0510953
       -4.31791      0.0531446
       -4.30291      0.0552368
       -4.28791      0.0573686
       -4.27291      0.0595372
       -4.25791      0.0617402
       -4.24291      0.0639752
       -4.22791      0.0662387
       -4.21291      0.0685253
       -4.19791      0.0708267
       -4.18291      0.0731301
       -4.16791       0.075418
       -4.15291      0.0776669
       -4.13791      0.0798478
       -4.12291      0.0819272
       -4.10791      0.0838682
       -4.09291      0.0856336
       -4.07791      0.0871887
       -4.06291      0.0885046
       -4.04791      0.0895615
       -4.03291      0.0903509
       -4.01791      0.0908768
       -4.00291       0.091156
       -3.98791      0.0912166
       -3.97291      0.0910955
       -3.95791      0.0908352
       -3.94291      0.0904804
       -3.92791      0.0900747
       -3.91291      0.0896579
       -3.89791      0.0892642
       -3.88291      0.0889209
       -3.86791      0.0886481
       -3.85291      0.0884591
       -3.83791      0.0883607
       -3.82291      0.0883543
       -3.80791      0.0884358
       -3.79291      0.0885967
       -3.77791      0.0888236
       -3.76291      0.0890987
       -3.74791      0.0893996
       -3.73291      0.0896993
       -3.71791      0.0899675
       -3.70291      0.0901714
       -3.68791       0.090278
       -3.67291      0.0902564
       -3.65791      0.0900808
       -3.64291      0.0897332
       -3.62791      0.0892052
       -3.61291      0.0884996
       -3.59791        0.08763
       -3.58291      0.0866199
       -3.56791      0.0855006
       -3.55291      0.0843084
       -3.53791      0.0830817
       -3.52291      0.0818584
       -3.50791       0.080674
       -3.49291      0.0795594
       -3.47791      0.0785402
       -3.46291      0.0776361
       -3.44791      0.0768608
       -3.43291      0.0762217
       -3.41791      0.0757207
       -3.40291       0.075354
       -3.38791       0.075113
       -3.37291      0.0749844
       -3.35791      0.0749509
       -3.34291       0.074992
       -3.32791      0.0750851
       -3.31291      0.0752063
